Constituency Name,Constituency Type,Parliament Constituency,Candidate Name,Party,Party Abbr,Party Color,Votes,Vote Share,Winner,Gender,Age,Criminal Cases,Latitude,Longitude
Bhopal Uttar,AC,Bhopal,Rameshwar Sharma,BJP,BJP,#FF6B00,102000,54.13,Yes,M,65,0,23.27,77.40
Bhopal Uttar,AC,Bhopal,Arif Masood,INC,INC,#00A651,87000,46.16,No,M,52,0,23.27,77.40
Govindpura,AC,Bhopal,Krishna Gaur,BJP,BJP,#FF6B00,104000,54.74,Yes,F,62,0,23.28,77.46
Govindpura,AC,Bhopal,Pradeep Pandey,INC,INC,#00A651,86000,45.26,No,M,48,0,23.28,77.46
Bhopal Madhya,AC,Bhopal,Suraj Singh Thakur,BJP,BJP,#FF6B00,97000,55.11,Yes,M,44,0,23.26,77.43
Bhopal Madhya,AC,Bhopal,Saleem Patel,INC,INC,#00A651,79000,44.89,No,M,49,0,23.26,77.43
Huzur,AC,Bhopal,Rameshwar Sharma,BJP,BJP,#FF6B00,99000,54.10,Yes,M,55,0,23.29,77.48
Huzur,AC,Bhopal,Suresh Pachouri,INC,INC,#00A651,84000,45.90,No,M,67,0,23.29,77.48
Indore 1,AC,Indore,Kailash Vijayavargiya,BJP,BJP,#FF6B00,108000,57.15,Yes,M,67,1,22.72,75.86
Indore 1,AC,Indore,Sanjay Shukla,INC,INC,#00A651,81000,42.85,No,M,51,0,22.72,75.86
Indore 2,AC,Indore,Ramesh Mendola,BJP,BJP,#FF6B00,103000,56.90,Yes,M,54,0,22.74,75.86
Indore 2,AC,Indore,Dilip Patel,INC,INC,#00A651,78000,43.10,No,M,49,0,22.74,75.86
Indore 3,AC,Indore,Akash Vijayvargiya,BJP,BJP,#FF6B00,97000,54.80,Yes,M,38,0,22.73,75.88
Indore 3,AC,Indore,Pinky Jain,INC,INC,#00A651,80000,45.20,No,F,44,0,22.73,75.88
Gwalior,AC,Gwalior,Praveen Pathak,BJP,BJP,#FF6B00,98000,53.85,Yes,M,49,0,26.21,78.18
Gwalior,AC,Gwalior,Devendra Sharma,INC,INC,#00A651,84000,46.15,No,M,58,0,26.21,78.18
Gwalior East,AC,Gwalior,Mohan Rathore,BJP,BJP,#FF6B00,94000,54.02,Yes,M,53,0,26.22,78.24
Gwalior East,AC,Gwalior,Satish Sikarwar,INC,INC,#00A651,80000,45.98,No,M,47,0,26.22,78.24
Gohad,AC,Gwalior,Ranveer Jatav,INC,INC,#00A651,94000,51.36,Yes,M,41,0,26.43,78.45
Gohad,AC,Gwalior,Prabhu Jatav,BJP,BJP,#FF6B00,89000,48.64,No,M,55,0,26.43,78.45
Morena,AC,Morena,Giriraj Dandotia,BJP,BJP,#FF6B00,95000,54.02,Yes,M,52,0,26.50,77.99
Morena,AC,Morena,Ramniwas Rawat,INC,INC,#00A651,81000,46.07,No,M,61,0,26.50,77.99
Bhind,AC,Bhind,Sanjeev Kushwah,BJP,BJP,#FF6B00,96000,53.93,Yes,M,46,0,26.56,78.78
Bhind,AC,Bhind,Hemant Katare,INC,INC,#00A651,82000,46.07,No,M,52,0,26.56,78.78
Jabalpur,AC,Jabalpur,Ashish Dubey,BJP,BJP,#FF6B00,91000,53.53,Yes,M,48,0,23.16,79.95
Jabalpur,AC,Jabalpur,Tarun Bhanot,INC,INC,#00A651,79000,46.47,No,M,55,0,23.16,79.95
